72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n u i err
32 59 41 50 1104.214 4.409  0.01
32 56 40 48 1643.957 4.811  0.01
32 53 39 46 2661.484 6.026  0.01
32 50 38 44 3030.586 5.824  0.01
33 72 46 59 471.078 5.029  0.01
33 69 45 57 552.872 4.727  0.01
33 66 44 55 643.442 4.474  0.01
33 63 43 53 872.668 4.656  0.01
33 60 42 51 1566.222 6.216  0.01
33 57 41 49 1675.002 5.174  0.01
33 54 40 47 2720.479 6.409  0.01
33 51 39 45 3036.788 5.754  0.01
34 70 46 58 542.626 4.533  0.01
34 67 45 56 846.356 5.790  0.01
34 64 44 54 993.444 5.093  0.01
34 61 43 52 1410.261 5.808  0.01
34 58 42 50 1519.149 4.935  0.01
34 55 41 48 2960.939 7.003  0.01
34 52 40 46 3044.331 5.689  0.01
34 49 39 44 3033.933 4.787  0.01
35 71 47 59 524.156 4.304  0.01
35 68 46 57 744.284 4.991  0.01
35 65 45 55 996.627 5.296  0.01
35 62 44 53 1334.193 5.498  0.01
35 59 43 51 1689.641 5.334  0.01
35 56 42 49 2414.126 5.929  0.01
35 53 41 47 3039.706 5.751  0.01
35 50 40 45 3035.071 4.563  0.01
36 72 48 60 686.106 5.527  0.01
36 69 47 58 816.433 5.163  0.01
36 66 46 56 933.010 4.864  0.01
36 63 45 54 1275.364 5.093  0.01
36 60 44 52 2243.396 6.998  0.01
